Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
0.13 m -83.09 deg
0.15 m -74.98 deg
0.17 m -59.24 deg
0.18 m -41.24 deg
0.18 m -23.24 deg
0.17 m -5.24 deg
14.92 m 12.75 deg
13.5 m 30.74 deg
14.11 m 48.74 deg
654.36 m 66.75 deg
10.31 m 78.9 deg
8.14 m 84.3 deg
6.66 m 89.39 deg
5.74 m 89.39 deg
5.23 m 85.8 deg
5.34 m 79.04 deg
5.91 m 65.54 deg
6.81 m 47.55 deg
11.99 m 29.55 deg
12.85 m 11.54 deg
13.78 m -6.44 deg
654.36 m -23.98 deg
654.36 m -41.98 deg
654.36 m -59.98 deg
654.36 m -74.84 deg
654.36 m -82.49 deg
654.36 m -86.09 deg
654.36 m -89.83 deg
654.36 m -87.58 deg
654.36 m -83.54 deg
654.36 m -73.63 deg
654.36 m -56.99 deg
654.36 m -38.99 deg
6.85 m -20.54 deg
5.35 m -2.54 deg
5.14 m 14.99 deg
5.59 m 33.0 deg
6.64 m 50.99 deg
8.47 m 68.55 deg
13.28 m 79.8 deg
15.68 m 84.75 deg
21.11 m 89.39 deg
22.31 m 88.49 deg
20.93 m 84.89 deg
16.79 m 77.69 deg
15.14 m 63.3 deg
13.19 m 45.3 deg
12.27 m 27.3 deg
12.52 m 9.29 deg
13.08 m -8.69 deg
14.66 m -26.69 deg
654.36 m -44.68 deg
654.36 m -62.68 deg
654.36 m -76.64 deg
46.74 m -83.39 deg
654.36 m -86.54 deg
654.36 m -89.83 deg
654.36 m -87.13 deg
654.36 m -82.63 deg
654.36 m -71.38 deg
654.36 m -54.29 deg
654.36 m -36.29 deg
11.65 m -17.84 deg
8.34 m -0.29 deg
5.65 m 17.69 deg
5.48 m 35.69 deg
6.64 m 53.69 deg
8.49 m 70.35 deg
12.25 m 80.7 deg
14.92 m 85.2 deg
17.25 m 89.39 deg
17.8 m 88.05 deg
17.22 m 84.45 deg
15.64 m 75.89 deg
12.75 m 60.6 deg
11.98 m 42.6 deg
12.25 m 24.6 deg
12.32 m 6.59 deg
12.66 m -11.39 deg
14.18 m -29.38 deg
654.36 m -47.39 deg
654.36 m -65.39 deg
654.36 m -77.99 deg
654.36 m -83.84 deg
46.71 m -89.38 deg
654.36 m -89.83 deg
46.65 m -86.69 deg
654.36 m -81.73 deg
654.36 m -69.59 deg
654.36 m -51.59 deg
14.3 m -33.58 deg
12.76 m -15.59 deg
11.31 m 2.39 deg
9.18 m 20.39 deg
9.31 m 38.39 deg
9.82 m 56.4 deg
11.33 m 72.15 deg
12.51 m 81.6 deg
12.42 m 85.65 deg
13.61 m 89.39 deg
14.02 m 87.59 deg
14.1 m 83.99 deg
13.4 m 74.1 deg
11.14 m 57.9 deg
14.2 m 39.9 deg
12.95 m 21.9 deg
11.8 m 3.9 deg
11.84 m -14.09 deg
13.14 m -32.08 deg
654.36 m -50.09 deg
654.36 m -67.64 deg
654.36 m -79.34 deg
654.36 m -84.29 deg
654.36 m -89.38 deg
654.36 m -89.38 deg
654.36 m -86.23 deg
654.36 m -79.93 deg
654.36 m -66.88 deg
654.36 m -48.89 deg
12.8 m -30.89 deg
11.54 m -12.89 deg
11.54 m 5.09 deg
12.78 m 23.09 deg
14.46 m 41.1 deg
10.39 m 59.1 deg
11.28 m 73.95 deg
11.48 m 82.5 deg
11.29 m 86.1 deg
10.83 m 89.39 deg
10.15 m 87.14 deg
9.88 m 83.1 deg
10.04 m 72.29 deg
654.36 m 55.2 deg
14.44 m 37.2 deg
11.94 m 19.2 deg
11.08 m 1.2 deg
11.44 m -16.78 deg
13.01 m -34.79 deg
654.36 m -52.79 deg
654.36 m -69.89 deg
654.36 m -80.69 deg
654.36 m -84.74 deg
654.36 m -89.83 deg
654.36 m -88.94 deg
654.36 m -85.34 deg
654.36 m -78.13 deg
654.36 m -64.18 deg
654.36 m -46.19 deg
12.62 m -28.19 deg
11.05 m -10.19 deg
10.8 m 7.8 deg
11.71 m 25.8 deg
13.07 m 43.8 deg
20.4 m 61.8 deg
16.43 m 75.75 deg
16.37 m 82.95 deg
16.16 m 86.55 deg
16.28 m 89.39 deg
15.63 m 86.7 deg
14.87 m 82.2 deg
13.14 m 70.04 deg
15.46 m 52.5 deg
12.62 m 34.5 deg
11.01 m 16.5 deg
10.41 m -1.48 deg
10.93 m -19.48 deg
12.54 m -37.49 deg
654.36 m -55.04 deg
654.36 m -71.24 deg
654.36 m -81.14 deg
654.36 m -85.19 deg
654.36 m -89.83 deg
654.36 m -88.48 deg
654.36 m -84.88 deg
654.36 m -76.78 deg
654.36 m -61.94 deg
12.57 m -43.49 deg
10.96 m -25.49 deg
10.13 m -7.49 deg
10.47 m 10.05 deg
11.97 m 28.05 deg
13.86 m 46.05 deg
8.89 m 64.05 deg
8.04 m 77.1 deg
7.41 m 83.4 deg
7.1 m 87.0 deg
7.08 m 89.39 deg
7.29 m 86.24 deg
7.64 m 80.85 deg
8.17 m 68.24 deg
9.96 m 50.25 deg
11.52 m 32.25 deg
10.49 m 14.24 deg
9.76 m -3.73 deg
10.13 m -21.73 deg
11.78 m -39.74 deg
654.36 m -57.73 deg
654.36 m -73.04 deg
654.36 m -82.04 deg
654.36 m -85.64 deg
654.36 m -89.83 deg
654.36 m -88.04 deg
654.36 m -84.44 deg
654.36 m -74.98 deg
654.36 m -59.24 deg
11.9 m -41.24 deg
10.26 m -23.24 deg
9.51 m -5.24 deg
9.74 m 12.75 deg
11.12 m 30.74 deg
654.36 m 48.74 deg
654.36 m 66.75 deg
15.26 m 78.9 deg
14.69 m 84.3 deg
13.65 m 89.39 deg
13.03 m 89.39 deg
12.89 m 85.8 deg
12.6 m 79.04 deg
15.82 m 65.54 deg
18.13 m 47.55 deg
11.28 m 29.55 deg
9.61 m 11.54 deg
9.13 m -6.44 deg
9.59 m -24.44 deg
11.29 m -42.43 deg
654.36 m -60.43 deg
654.36 m -74.84 deg
654.36 m -82.49 deg
654.36 m -86.09 deg
654.36 m -89.83 deg
654.36 m -87.58 deg
654.36 m -83.54 deg
654.36 m -73.18 deg
654.36 m -56.54 deg
10.56 m -38.54 deg
9.17 m -20.54 deg
8.87 m -2.54 deg
9.49 m 15.45 deg
11.07 m 33.44 deg
654.36 m 51.44 deg
654.36 m 68.55 deg
14.5 m 79.8 deg
13.24 m 84.75 deg
12.82 m 89.39 deg
12.37 m 88.49 deg
12.29 m 84.89 deg
12.33 m 77.24 deg
16.86 m 62.85 deg
654.36 m 44.85 deg
10.48 m 26.85 deg
8.9 m 8.84 deg
8.51 m -9.13 deg
9.02 m -27.13 deg
10.74 m -45.14 deg
654.36 m -62.68 deg
654.36 m -76.64 deg
654.36 m -83.39 deg
654.36 m -86.54 deg
654.36 m -89.83 deg
654.36 m -87.13 deg
5.62 m -82.63 deg
654.36 m -71.38 deg
654.36 m -54.29 deg
10.03 m -35.83 deg
8.56 m -17.84 deg
8.17 m -0.29 deg
8.61 m 17.69 deg
10.11 m 35.69 deg
654.36 m 53.69 deg
654.36 m 70.35 deg
21.75 m 80.7 deg
654.36 m 85.2 deg
22.36 m 89.39 deg
22.3 m 88.05 deg
5.5 m 84.45 deg
22.84 m 75.89 deg
654.36 m 60.6 deg
10.46 m 42.6 deg
8.82 m 24.6 deg
7.95 m 6.59 deg
7.95 m -11.39 deg
8.83 m -29.38 deg
10.67 m -47.39 deg
654.36 m -65.39 deg
654.36 m -77.99 deg
654.36 m -83.84 deg
5.54 m -89.38 deg
90.95 m -89.83 deg
5.54 m -86.69 deg
654.36 m -81.73 deg
654.36 m -69.59 deg
654.36 m -51.59 deg
8.99 m -33.58 deg
7.75 m -15.59 deg
7.49 m 2.39 deg
8.05 m 20.39 deg
9.77 m 38.39 deg
654.36 m 56.4 deg
20.63 m 72.15 deg
19.71 m 81.6 deg
654.36 m 85.65 deg
5.06 m 89.39 deg
5.25 m 87.59 deg
35.28 m 83.99 deg
33.71 m 74.1 deg
654.36 m 57.9 deg
9.84 m 39.9 deg
8.14 m 21.9 deg
7.27 m 3.9 deg
7.21 m -14.09 deg
7.93 m -32.08 deg
9.86 m -50.09 deg
