Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
0.15 m -80.69 deg
0.14 m -81.14 deg
0.14 m -81.59 deg
0.13 m -82.04 deg
0.14 m -82.49 deg
0.15 m -82.94 deg
0.18 m -83.39 deg
0.13 m -83.84 deg
0.15 m -84.29 deg
0.15 m -84.74 deg
0.15 m -84.74 deg
0.13 m -85.19 deg
0.16 m -85.64 deg
0.13 m -86.09 deg
0.16 m -86.09 deg
0.14 m -86.54 deg
0.14 m -86.99 deg
0.14 m -86.99 deg
0.15 m -87.44 deg
0.19 m -87.89 deg
0.18 m -87.89 deg
0.17 m -90.73 deg
0.16 m -91.19 deg
0.14 m -90.73 deg
0.13 m -90.73 deg
0.14 m -90.29 deg
0.16 m -89.83 deg
0.14 m -89.83 deg
0.15 m -89.38 deg
0.17 m -88.94 deg
0.15 m -88.94 deg
0.19 m -88.48 deg
0.17 m -88.04 deg
0.17 m -88.04 deg
0.17 m -87.58 deg
0.17 m -87.13 deg
0.18 m -86.69 deg
0.19 m -86.23 deg
0.16 m -86.23 deg
0.17 m -85.79 deg
0.2 m -85.34 deg
0.19 m -84.88 deg
0.18 m -84.44 deg
0.19 m -83.98 deg
0.19 m -83.54 deg
0.2 m -83.09 deg
0.18 m -82.19 deg
0.19 m -81.73 deg
0.19 m -81.28 deg
0.19 m -80.38 deg
0.2 m -79.48 deg
0.17 m -78.13 deg
0.18 m -76.34 deg
0.18 m -74.53 deg
0.18 m -72.73 deg
0.18 m -70.93 deg
0.17 m -68.68 deg
0.17 m -66.88 deg
0.16 m -65.09 deg
0.15 m -63.29 deg
0.14 m -61.49 deg
0.13 m -59.69 deg
0.13 m -57.89 deg
0.13 m -56.09 deg
0.12 m -53.84 deg
0.11 m -52.04 deg
0.1 m -50.24 deg
654.36 m -48.44 deg
654.36 m -46.64 deg
654.36 m -44.84 deg
654.36 m -43.04 deg
654.36 m -41.24 deg
654.36 m -39.44 deg
654.36 m -37.64 deg
654.36 m -35.83 deg
654.36 m -34.04 deg
654.36 m -32.24 deg
654.36 m -30.44 deg
654.36 m -28.64 deg
654.36 m -26.84 deg
654.36 m -25.04 deg
654.36 m -23.24 deg
654.36 m -21.44 deg
654.36 m -19.64 deg
654.36 m -17.84 deg
654.36 m -16.03 deg
654.36 m -14.23 deg
654.36 m -12.44 deg
654.36 m -10.64 deg
654.36 m -8.83 deg
654.36 m -7.04 deg
654.36 m -5.24 deg
654.36 m -3.44 deg
654.36 m -1.64 deg
654.36 m 0.14 deg
654.36 m 1.94 deg
654.36 m 3.74 deg
654.36 m 5.55 deg
654.36 m 6.89 deg
654.36 m 8.7 deg
654.36 m 10.5 deg
654.36 m 12.3 deg
654.36 m 14.1 deg
654.36 m 15.9 deg
654.36 m 17.69 deg
654.36 m 19.49 deg
654.36 m 21.3 deg
654.36 m 23.09 deg
654.36 m 24.89 deg
654.36 m 26.7 deg
654.36 m 28.49 deg
18.32 m 30.3 deg
18.3 m 32.55 deg
18.9 m 34.34 deg
654.36 m 36.14 deg
654.36 m 37.94 deg
654.36 m 39.75 deg
654.36 m 41.55 deg
654.36 m 43.35 deg
654.36 m 45.15 deg
15.81 m 46.94 deg
654.36 m 48.74 deg
654.36 m 50.55 deg
654.36 m 52.35 deg
654.36 m 54.15 deg
654.36 m 55.94 deg
22.79 m 57.74 deg
654.36 m 59.55 deg
654.36 m 61.35 deg
21.91 m 63.15 deg
20.8 m 64.95 deg
19.77 m 66.75 deg
18.96 m 68.55 deg
18.43 m 70.8 deg
17.58 m 72.6 deg
16.92 m 74.4 deg
16.49 m 75.75 deg
15.99 m 77.1 deg
15.34 m 78.0 deg
15.05 m 78.9 deg
14.91 m 79.35 deg
14.96 m 79.8 deg
15.01 m 80.7 deg
15.01 m 81.15 deg
15.0 m 81.6 deg
14.81 m 82.05 deg
14.4 m 82.5 deg
13.83 m 82.95 deg
13.28 m 83.4 deg
12.74 m 83.85 deg
12.29 m 83.85 deg
11.95 m 84.3 deg
11.67 m 84.75 deg
11.41 m 85.2 deg
11.22 m 85.65 deg
11.02 m 85.65 deg
10.83 m 86.1 deg
10.65 m 86.55 deg
10.45 m 86.55 deg
10.22 m 87.0 deg
10.0 m 87.45 deg
9.85 m 87.45 deg
9.74 m 87.9 deg
9.63 m 88.35 deg
9.54 m 90.74 deg
9.45 m 90.74 deg
9.35 m 90.3 deg
9.27 m 89.84 deg
9.19 m 89.84 deg
654.36 m 89.39 deg
9.1 m 89.39 deg
9.06 m 88.95 deg
9.03 m 88.49 deg
9.01 m 88.05 deg
8.96 m 88.05 deg
8.91 m 87.59 deg
8.87 m 87.14 deg
8.84 m 86.7 deg
8.82 m 86.7 deg
8.82 m 86.24 deg
8.83 m 85.8 deg
8.86 m 85.35 deg
8.9 m 84.89 deg
8.96 m 84.45 deg
9.03 m 83.99 deg
9.11 m 83.55 deg
9.17 m 83.1 deg
9.21 m 82.64 deg
9.25 m 81.74 deg
9.28 m 81.29 deg
9.34 m 80.39 deg
9.4 m 79.49 deg
9.48 m 78.14 deg
9.55 m 76.79 deg
9.6 m 74.99 deg
9.64 m 73.19 deg
9.72 m 70.94 deg
9.86 m 69.14 deg
9.92 m 67.35 deg
10.01 m 65.54 deg
10.05 m 63.75 deg
10.07 m 61.95 deg
10.07 m 60.15 deg
10.12 m 57.9 deg
10.23 m 56.1 deg
10.5 m 54.3 deg
10.7 m 52.5 deg
10.97 m 50.7 deg
11.38 m 48.9 deg
11.93 m 47.1 deg
12.36 m 44.85 deg
12.86 m 43.05 deg
13.32 m 41.25 deg
13.76 m 39.45 deg
14.21 m 37.65 deg
14.69 m 35.84 deg
15.27 m 34.05 deg
16.0 m 31.8 deg
16.97 m 30.0 deg
18.02 m 28.2 deg
18.86 m 26.4 deg
19.96 m 24.6 deg
654.36 m 22.8 deg
654.36 m 21.0 deg
16.77 m 19.2 deg
16.65 m 17.4 deg
654.36 m 15.6 deg
654.36 m 13.79 deg
654.36 m 11.99 deg
28.51 m 10.2 deg
654.36 m 8.39 deg
35.66 m 6.14 deg
19.87 m 4.35 deg
654.36 m 2.55 deg
16.49 m 0.75 deg
16.5 m -1.03 deg
16.71 m -2.83 deg
654.36 m -4.63 deg
654.36 m -6.44 deg
654.36 m -8.24 deg
654.36 m -10.04 deg
654.36 m -11.84 deg
654.36 m -13.64 deg
16.72 m -15.44 deg
16.61 m -17.23 deg
654.36 m -19.03 deg
654.36 m -20.83 deg
654.36 m -22.63 deg
654.36 m -24.44 deg
654.36 m -26.23 deg
654.36 m -28.04 deg
654.36 m -29.83 deg
654.36 m -31.63 deg
654.36 m -33.43 deg
654.36 m -35.24 deg
654.36 m -37.04 deg
654.36 m -38.83 deg
654.36 m -40.63 deg
654.36 m -41.98 deg
654.36 m -43.79 deg
654.36 m -46.04 deg
654.36 m -47.84 deg
654.36 m -49.64 deg
654.36 m -51.43 deg
654.36 m -53.23 deg
654.36 m -55.04 deg
654.36 m -56.84 deg
654.36 m -58.64 deg
654.36 m -60.43 deg
45.68 m -62.23 deg
654.36 m -64.04 deg
654.36 m -65.84 deg
654.36 m -67.64 deg
654.36 m -69.44 deg
654.36 m -71.24 deg
654.36 m -73.04 deg
654.36 m -74.84 deg
654.36 m -76.19 deg
654.36 m -77.54 deg
654.36 m -78.44 deg
40.24 m -78.89 deg
39.95 m -79.79 deg
39.56 m -80.24 deg
39.43 m -80.69 deg
39.38 m -81.14 deg
39.41 m -81.59 deg
39.42 m -82.04 deg
654.36 m -82.49 deg
654.36 m -82.94 deg
654.36 m -83.39 deg
654.36 m -83.84 deg
654.36 m -84.29 deg
654.36 m -84.29 deg
654.36 m -84.74 deg
654.36 m -85.19 deg
654.36 m -85.64 deg
654.36 m -85.64 deg
654.36 m -86.09 deg
654.36 m -86.54 deg
654.36 m -86.54 deg
654.36 m -86.99 deg
654.36 m -87.44 deg
654.36 m -87.44 deg
654.36 m -87.89 deg
654.36 m -88.34 deg
654.36 m -90.73 deg
654.36 m -91.19 deg
654.36 m -90.73 deg
654.36 m -90.73 deg
44.37 m -90.29 deg
44.45 m -89.83 deg
44.57 m -89.83 deg
