Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
654.36 m -90.29 deg
654.36 m -89.83 deg
654.36 m -89.83 deg
654.36 m -89.38 deg
654.36 m -89.38 deg
654.36 m -88.94 deg
654.36 m -88.48 deg
654.36 m -88.04 deg
0.06 m -88.04 deg
0.1 m -87.58 deg
0.09 m -87.13 deg
0.08 m -86.69 deg
0.09 m -86.23 deg
0.1 m -86.23 deg
0.09 m -85.79 deg
0.07 m -85.34 deg
0.1 m -84.88 deg
0.09 m -84.44 deg
0.09 m -83.98 deg
0.07 m -83.54 deg
0.13 m -82.63 deg
0.17 m -82.19 deg
0.14 m -81.73 deg
0.13 m -80.84 deg
0.12 m -80.38 deg
0.13 m -79.03 deg
0.15 m -77.68 deg
0.12 m -76.34 deg
0.11 m -74.53 deg
654.36 m -72.73 deg
0.37 m -70.48 deg
0.3 m -68.68 deg
0.29 m -66.88 deg
0.27 m -65.09 deg
0.25 m -63.29 deg
0.24 m -61.49 deg
0.23 m -59.69 deg
0.23 m -57.89 deg
0.22 m -56.09 deg
0.21 m -53.84 deg
0.2 m -52.04 deg
0.18 m -50.24 deg
0.18 m -48.44 deg
0.17 m -46.64 deg
0.16 m -44.84 deg
0.18 m -43.04 deg
0.18 m -41.24 deg
0.16 m -39.44 deg
0.13 m -37.19 deg
0.09 m -35.39 deg
0.08 m -33.58 deg
5.16 m -31.79 deg
0.04 m -29.99 deg
4.75 m -27.74 deg
4.73 m -25.94 deg
5.95 m -24.14 deg
654.36 m -22.34 deg
6.69 m -20.54 deg
7.03 m -18.74 deg
7.46 m -16.49 deg
7.91 m -14.69 deg
8.45 m -12.89 deg
9.3 m -11.09 deg
654.36 m -9.28 deg
654.36 m -7.49 deg
9.16 m -5.69 deg
8.99 m -3.89 deg
8.78 m -2.08 deg
8.81 m -0.29 deg
8.76 m 1.94 deg
5.74 m 3.74 deg
8.72 m 5.55 deg
8.75 m 7.35 deg
8.79 m 9.14 deg
8.84 m 10.95 deg
8.92 m 12.75 deg
9.04 m 14.55 deg
9.17 m 16.34 deg
9.33 m 18.15 deg
9.43 m 20.39 deg
9.68 m 22.2 deg
6.52 m 23.99 deg
10.0 m 25.8 deg
8.97 m 27.59 deg
8.1 m 29.39 deg
7.44 m 31.19 deg
7.07 m 33.0 deg
6.6 m 35.25 deg
6.19 m 37.05 deg
5.83 m 38.84 deg
5.42 m 40.64 deg
5.1 m 42.44 deg
4.87 m 44.24 deg
4.67 m 46.05 deg
0.98 m 47.85 deg
654.36 m 49.65 deg
3.65 m 51.44 deg
654.36 m 53.24 deg
0.55 m 55.05 deg
0.54 m 57.3 deg
0.51 m 59.1 deg
0.56 m 60.9 deg
2.65 m 62.69 deg
2.88 m 64.5 deg
654.36 m 66.3 deg
0.99 m 68.1 deg
0.95 m 70.35 deg
654.36 m 72.15 deg
3.16 m 73.95 deg
3.04 m 75.75 deg
3.09 m 77.1 deg
3.05 m 78.0 deg
2.9 m 78.45 deg
2.47 m 79.35 deg
2.39 m 79.8 deg
2.38 m 80.25 deg
2.37 m 81.15 deg
2.38 m 81.6 deg
2.38 m 82.05 deg
2.38 m 82.5 deg
2.37 m 82.95 deg
2.37 m 83.4 deg
2.36 m 83.4 deg
2.48 m 83.85 deg
2.96 m 84.3 deg
2.96 m 84.75 deg
2.96 m 85.2 deg
2.96 m 85.65 deg
2.96 m 85.65 deg
2.96 m 86.1 deg
2.95 m 86.55 deg
2.94 m 86.55 deg
2.78 m 87.0 deg
2.73 m 87.45 deg
2.93 m 87.45 deg
2.93 m 87.9 deg
2.93 m 88.35 deg
2.93 m 90.74 deg
2.93 m 90.74 deg
2.93 m 90.3 deg
2.93 m 89.84 deg
2.93 m 89.84 deg
2.93 m 89.39 deg
2.93 m 88.95 deg
2.93 m 88.95 deg
2.86 m 88.49 deg
2.74 m 88.05 deg
2.93 m 88.05 deg
2.95 m 87.59 deg
2.95 m 87.14 deg
2.95 m 86.7 deg
2.93 m 86.24 deg
2.47 m 86.24 deg
2.37 m 85.8 deg
2.32 m 85.35 deg
2.51 m 84.89 deg
2.81 m 84.45 deg
2.96 m 83.99 deg
2.99 m 83.55 deg
2.99 m 83.1 deg
2.99 m 82.2 deg
2.99 m 81.74 deg
2.99 m 81.29 deg
3.0 m 80.39 deg
3.0 m 79.49 deg
2.99 m 78.14 deg
654.36 m 76.79 deg
0.44 m 74.54 deg
0.96 m 72.74 deg
2.93 m 70.94 deg
3.02 m 69.14 deg
2.67 m 67.35 deg
2.74 m 65.54 deg
2.79 m 63.3 deg
2.83 m 61.5 deg
0.75 m 59.7 deg
2.24 m 57.9 deg
3.0 m 56.1 deg
3.06 m 54.3 deg
3.14 m 52.05 deg
3.22 m 50.25 deg
3.32 m 48.45 deg
3.31 m 46.65 deg
1.69 m 44.85 deg
1.7 m 43.05 deg
1.71 m 41.25 deg
1.74 m 39.0 deg
1.76 m 37.2 deg
5.88 m 35.4 deg
6.34 m 33.59 deg
6.46 m 31.8 deg
6.56 m 30.0 deg
7.05 m 28.2 deg
8.34 m 26.4 deg
8.86 m 24.6 deg
9.25 m 22.35 deg
9.95 m 20.55 deg
11.4 m 18.75 deg
13.34 m 16.95 deg
14.87 m 15.15 deg
654.36 m 13.35 deg
654.36 m 11.54 deg
654.36 m 9.75 deg
44.28 m 7.95 deg
51.5 m 6.14 deg
654.36 m 4.35 deg
654.36 m 2.55 deg
654.36 m 0.75 deg
654.36 m -1.03 deg
654.36 m -2.38 deg
654.36 m -4.18 deg
654.36 m -5.99 deg
654.36 m -7.79 deg
14.26 m -9.58 deg
654.36 m -11.39 deg
11.46 m -13.19 deg
10.15 m -15.44 deg
9.8 m -17.23 deg
654.36 m -19.03 deg
654.36 m -20.83 deg
654.36 m -22.63 deg
654.36 m -24.44 deg
6.75 m -26.23 deg
6.37 m -28.04 deg
6.21 m -29.83 deg
5.96 m -31.63 deg
654.36 m -33.43 deg
3.76 m -35.24 deg
3.88 m -37.49 deg
4.03 m -39.29 deg
4.07 m -41.09 deg
4.21 m -42.89 deg
4.4 m -44.68 deg
4.61 m -46.48 deg
4.84 m -48.73 deg
5.03 m -50.54 deg
4.93 m -52.34 deg
4.76 m -54.14 deg
4.66 m -55.93 deg
4.12 m -57.73 deg
3.71 m -59.98 deg
3.66 m -61.79 deg
3.61 m -63.58 deg
3.56 m -65.39 deg
3.57 m -67.19 deg
654.36 m -68.99 deg
4.31 m -70.79 deg
3.79 m -72.59 deg
3.61 m -74.84 deg
3.59 m -76.19 deg
3.58 m -77.54 deg
3.57 m -77.99 deg
3.58 m -78.89 deg
3.57 m -79.34 deg
3.58 m -80.24 deg
3.58 m -80.69 deg
3.59 m -81.14 deg
3.59 m -81.59 deg
3.59 m -82.04 deg
3.59 m -82.49 deg
3.59 m -82.94 deg
3.59 m -83.39 deg
3.59 m -83.84 deg
3.93 m -84.29 deg
4.05 m -84.29 deg
4.06 m -84.74 deg
4.06 m -85.19 deg
4.06 m -85.64 deg
4.06 m -86.09 deg
4.06 m -86.09 deg
4.06 m -86.54 deg
4.06 m -86.99 deg
654.36 m -86.99 deg
4.07 m -87.44 deg
4.05 m -87.89 deg
3.85 m -87.89 deg
3.85 m -88.34 deg
3.86 m -90.73 deg
3.85 m -90.73 deg
3.83 m -90.73 deg
3.83 m -90.29 deg
3.83 m -90.29 deg
3.84 m -89.83 deg
4.0 m -89.38 deg
4.06 m -89.38 deg
4.07 m -88.94 deg
4.06 m -88.48 deg
4.06 m -88.48 deg
4.06 m -88.04 deg
4.05 m -87.58 deg
3.71 m -87.13 deg
3.59 m -86.69 deg
3.59 m -86.69 deg
3.58 m -86.23 deg
3.58 m -85.79 deg
3.57 m -85.34 deg
3.57 m -84.88 deg
3.57 m -84.44 deg
3.56 m -83.98 deg
3.56 m -83.54 deg
3.56 m -83.09 deg
3.55 m -82.63 deg
3.55 m -81.73 deg
3.55 m -81.28 deg
3.55 m -80.84 deg
3.54 m -79.93 deg
3.55 m -78.59 deg
3.55 m -77.23 deg
3.55 m -75.43 deg
3.57 m -73.63 deg
3.85 m -71.38 deg
4.21 m -69.59 deg
