Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
3.84 m -73.49 deg
3.71 m -82.04 deg
3.41 m -85.64 deg
3.4 m -89.83 deg
3.48 m -88.04 deg
3.72 m -83.98 deg
3.84 m -74.53 deg
4.51 m -58.79 deg
6.08 m -40.79 deg
654.36 m -22.79 deg
38.59 m -4.79 deg
9.46 m 12.75 deg
5.72 m 30.74 deg
4.2 m 48.74 deg
3.53 m 66.75 deg
3.38 m 78.9 deg
3.34 m 84.3 deg
3.42 m 89.39 deg
3.44 m 88.95 deg
3.34 m 85.8 deg
3.36 m 79.04 deg
3.74 m 65.54 deg
4.23 m 47.55 deg
5.51 m 29.55 deg
654.36 m 11.54 deg
38.23 m -6.44 deg
9.12 m -24.44 deg
6.04 m -42.43 deg
4.49 m -60.43 deg
3.85 m -74.84 deg
3.72 m -82.49 deg
3.67 m -86.09 deg
3.66 m -89.83 deg
3.67 m -87.58 deg
3.72 m -83.54 deg
3.85 m -73.18 deg
4.48 m -56.54 deg
5.95 m -38.54 deg
654.36 m -20.54 deg
37.87 m -2.54 deg
9.74 m 15.45 deg
10.98 m 33.44 deg
4.08 m 51.44 deg
3.46 m 69.0 deg
8.67 m 80.25 deg
8.72 m 84.75 deg
9.59 m 89.39 deg
9.93 m 88.49 deg
8.93 m 84.89 deg
8.61 m 77.24 deg
3.72 m 62.85 deg
4.31 m 44.85 deg
6.06 m 26.85 deg
654.36 m 8.84 deg
654.36 m -8.69 deg
8.35 m -26.69 deg
5.57 m -45.14 deg
4.32 m -63.14 deg
3.81 m -76.64 deg
3.73 m -83.39 deg
3.69 m -86.54 deg
3.68 m -89.83 deg
3.71 m -87.13 deg
3.78 m -82.63 deg
3.98 m -71.38 deg
4.64 m -54.29 deg
6.97 m -36.29 deg
654.36 m -18.29 deg
37.21 m -0.29 deg
8.7 m 17.69 deg
10.83 m 35.69 deg
3.77 m 53.69 deg
3.49 m 70.35 deg
3.23 m 81.15 deg
10.64 m 85.2 deg
9.68 m 89.39 deg
10.01 m 88.05 deg
10.8 m 84.45 deg
10.52 m 75.89 deg
3.5 m 60.6 deg
4.12 m 42.6 deg
7.12 m 24.6 deg
654.36 m 6.59 deg
654.36 m -11.39 deg
7.61 m -29.38 deg
5.76 m -47.39 deg
4.24 m -65.39 deg
3.9 m -77.99 deg
3.81 m -83.84 deg
3.76 m -89.38 deg
3.75 m -89.83 deg
3.78 m -86.69 deg
3.83 m -81.73 deg
4.09 m -69.59 deg
4.84 m -51.59 deg
7.05 m -33.58 deg
654.36 m -15.59 deg
654.36 m 1.94 deg
8.24 m 19.94 deg
5.02 m 38.39 deg
3.82 m 56.4 deg
3.32 m 72.15 deg
3.21 m 81.6 deg
9.31 m 85.65 deg
8.68 m 89.39 deg
10.03 m 87.59 deg
3.2 m 83.99 deg
3.23 m 74.1 deg
3.56 m 57.9 deg
5.19 m 39.9 deg
7.59 m 22.35 deg
654.36 m 4.35 deg
18.26 m -13.64 deg
7.2 m -31.63 deg
5.21 m -49.64 deg
4.05 m -67.64 deg
3.89 m -79.34 deg
3.79 m -84.29 deg
3.76 m -89.83 deg
3.75 m -89.38 deg
3.79 m -86.23 deg
3.85 m -80.38 deg
4.02 m -67.34 deg
5.15 m -49.34 deg
7.09 m -31.34 deg
654.36 m -13.34 deg
654.36 m 4.64 deg
7.39 m 22.64 deg
4.56 m 40.64 deg
3.62 m 58.65 deg
3.22 m 73.95 deg
3.18 m 82.5 deg
3.14 m 86.1 deg
3.12 m 89.84 deg
3.17 m 87.59 deg
3.18 m 83.1 deg
3.19 m 72.74 deg
3.75 m 55.65 deg
5.32 m 37.65 deg
7.2 m 19.65 deg
654.36 m 1.65 deg
654.36 m -16.33 deg
6.74 m -34.33 deg
5.04 m -52.34 deg
4.02 m -69.44 deg
3.58 m -80.69 deg
3.55 m -84.74 deg
3.63 m -89.83 deg
3.63 m -88.94 deg
3.55 m -85.34 deg
3.6 m -78.59 deg
4.1 m -64.63 deg
5.21 m -46.64 deg
7.21 m -28.64 deg
654.36 m -10.64 deg
654.36 m 6.89 deg
6.83 m 24.89 deg
4.36 m 42.9 deg
3.59 m 60.9 deg
3.16 m 75.75 deg
3.08 m 82.95 deg
3.17 m 86.55 deg
3.2 m 89.39 deg
3.11 m 87.14 deg
3.1 m 82.2 deg
3.46 m 70.94 deg
10.48 m 53.4 deg
6.18 m 35.4 deg
7.31 m 17.4 deg
654.36 m -0.58 deg
654.36 m -18.58 deg
6.02 m -36.58 deg
4.68 m -54.59 deg
3.86 m -71.24 deg
3.54 m -81.14 deg
3.49 m -85.19 deg
3.48 m -89.83 deg
3.49 m -88.48 deg
3.63 m -84.88 deg
3.74 m -77.23 deg
4.27 m -62.39 deg
5.57 m -44.39 deg
12.0 m -26.39 deg
42.08 m -8.38 deg
654.36 m 9.59 deg
6.2 m 27.59 deg
4.07 m 45.6 deg
3.52 m 63.59 deg
3.21 m 77.1 deg
3.13 m 83.4 deg
3.1 m 87.0 deg
3.1 m 89.39 deg
3.1 m 86.7 deg
3.2 m 81.29 deg
3.55 m 68.69 deg
3.96 m 50.7 deg
5.42 m 32.7 deg
654.36 m 14.7 deg
654.36 m -3.29 deg
654.36 m -21.29 deg
6.42 m -39.29 deg
4.68 m -57.29 deg
3.84 m -73.04 deg
3.7 m -82.04 deg
3.66 m -85.64 deg
3.66 m -89.83 deg
3.66 m -88.04 deg
3.69 m -84.44 deg
3.71 m -75.43 deg
4.35 m -59.69 deg
5.72 m -41.69 deg
654.36 m -23.69 deg
33.84 m -5.69 deg
654.36 m 11.85 deg
6.03 m 29.84 deg
4.12 m 48.3 deg
10.79 m 66.3 deg
9.45 m 78.9 deg
3.3 m 84.3 deg
3.22 m 89.39 deg
3.26 m 89.39 deg
3.27 m 85.8 deg
10.18 m 79.49 deg
3.55 m 65.99 deg
3.89 m 48.0 deg
5.57 m 30.0 deg
654.36 m 11.99 deg
33.53 m -5.54 deg
16.87 m -23.54 deg
5.97 m -41.54 deg
4.45 m -59.54 deg
3.79 m -74.39 deg
3.55 m -82.49 deg
3.52 m -86.09 deg
3.57 m -89.83 deg
3.53 m -87.58 deg
3.57 m -83.54 deg
3.82 m -73.63 deg
4.51 m -57.44 deg
6.12 m -39.44 deg
654.36 m -21.44 deg
654.36 m -3.44 deg
9.63 m 14.55 deg
5.2 m 32.55 deg
3.81 m 50.55 deg
10.66 m 68.55 deg
9.94 m 79.8 deg
9.88 m 84.75 deg
3.35 m 89.39 deg
3.33 m 88.95 deg
9.53 m 85.35 deg
9.67 m 78.14 deg
3.41 m 63.75 deg
3.99 m 45.75 deg
5.47 m 27.75 deg
