Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
654.36 m 85.2 deg
654.36 m 85.65 deg
654.36 m 85.65 deg
654.36 m 86.1 deg
654.36 m 86.55 deg
654.36 m 87.0 deg
654.36 m 87.0 deg
654.36 m 87.45 deg
654.36 m 87.9 deg
654.36 m 87.9 deg
654.36 m 88.35 deg
654.36 m 90.74 deg
654.36 m 90.74 deg
654.36 m 90.3 deg
654.36 m 89.84 deg
654.36 m 89.84 deg
654.36 m 89.39 deg
654.36 m 88.95 deg
654.36 m 88.95 deg
654.36 m 88.49 deg
654.36 m 88.05 deg
654.36 m 88.05 deg
654.36 m 87.59 deg
654.36 m 87.14 deg
654.36 m 86.7 deg
654.36 m 86.7 deg
654.36 m 86.24 deg
654.36 m 85.8 deg
654.36 m 85.35 deg
654.36 m 84.89 deg
654.36 m 84.45 deg
654.36 m 83.99 deg
654.36 m 83.55 deg
654.36 m 83.1 deg
654.36 m 82.64 deg
654.36 m 82.2 deg
654.36 m 81.29 deg
654.36 m 80.85 deg
654.36 m 79.94 deg
654.36 m 79.04 deg
654.36 m 77.69 deg
654.36 m 75.89 deg
654.36 m 74.1 deg
654.36 m 72.29 deg
654.36 m 70.49 deg
654.36 m 68.69 deg
654.36 m 66.89 deg
654.36 m 65.1 deg
654.36 m 63.3 deg
654.36 m 61.5 deg
654.36 m 59.7 deg
654.36 m 57.9 deg
654.36 m 56.1 deg
26.03 m 54.3 deg
25.43 m 52.5 deg
654.36 m 50.7 deg
654.36 m 48.9 deg
654.36 m 47.1 deg
654.36 m 45.3 deg
11.52 m 43.5 deg
10.08 m 41.7 deg
8.99 m 39.9 deg
8.13 m 38.09 deg
7.41 m 36.3 deg
6.93 m 34.05 deg
6.59 m 32.25 deg
6.3 m 30.45 deg
6.04 m 28.65 deg
5.84 m 26.85 deg
5.69 m 25.05 deg
5.57 m 23.25 deg
5.45 m 21.45 deg
5.36 m 19.65 deg
5.3 m 17.85 deg
5.23 m 15.6 deg
5.2 m 13.79 deg
5.21 m 11.99 deg
5.23 m 10.2 deg
5.31 m 8.39 deg
5.44 m 6.59 deg
5.61 m 4.8 deg
5.74 m 3.0 deg
5.83 m 1.2 deg
5.98 m -0.58 deg
6.16 m -2.83 deg
6.43 m -4.63 deg
6.7 m -6.44 deg
6.94 m -8.24 deg
7.21 m -10.04 deg
7.58 m -11.84 deg
8.0 m -13.64 deg
8.45 m -15.89 deg
8.98 m -17.68 deg
9.63 m -19.48 deg
10.31 m -21.29 deg
11.02 m -23.08 deg
11.91 m -24.88 deg
654.36 m -26.69 deg
14.3 m -28.48 deg
15.7 m -30.73 deg
17.61 m -32.54 deg
654.36 m -34.33 deg
654.36 m -36.13 deg
654.36 m -37.49 deg
29.89 m -39.29 deg
654.36 m -41.54 deg
654.36 m -43.34 deg
654.36 m -44.68 deg
24.35 m -46.48 deg
23.86 m -48.73 deg
24.59 m -50.54 deg
654.36 m -52.34 deg
654.36 m -54.14 deg
654.36 m -55.93 deg
654.36 m -57.73 deg
654.36 m -59.54 deg
38.33 m -61.34 deg
654.36 m -63.14 deg
37.25 m -64.94 deg
654.36 m -67.19 deg
654.36 m -68.99 deg
654.36 m -70.79 deg
654.36 m -72.59 deg
34.48 m -74.39 deg
34.03 m -75.74 deg
33.5 m -77.09 deg
32.92 m -77.99 deg
32.85 m -78.89 deg
32.81 m -79.34 deg
32.78 m -79.79 deg
32.8 m -80.69 deg
32.79 m -81.14 deg
32.82 m -81.59 deg
32.84 m -82.04 deg
32.87 m -82.49 deg
32.82 m -82.94 deg
32.8 m -83.39 deg
32.76 m -83.84 deg
32.76 m -83.84 deg
32.75 m -84.29 deg
32.75 m -84.74 deg
32.78 m -85.19 deg
32.81 m -85.64 deg
32.81 m -85.64 deg
32.83 m -86.09 deg
32.84 m -86.54 deg
32.88 m -86.54 deg
32.9 m -86.99 deg
32.77 m -87.44 deg
654.36 m -87.44 deg
654.36 m -87.89 deg
654.36 m -88.34 deg
654.36 m -90.73 deg
654.36 m -91.19 deg
654.36 m -90.73 deg
654.36 m -90.29 deg
654.36 m -90.29 deg
654.36 m -89.83 deg
654.36 m -89.83 deg
654.36 m -89.38 deg
654.36 m -88.94 deg
654.36 m -88.94 deg
654.36 m -88.48 deg
654.36 m -88.04 deg
654.36 m -87.58 deg
32.85 m -87.58 deg
32.89 m -87.13 deg
32.86 m -86.69 deg
32.84 m -86.23 deg
32.84 m -85.79 deg
32.84 m -85.34 deg
32.82 m -85.34 deg
32.79 m -84.88 deg
32.79 m -84.44 deg
32.78 m -83.98 deg
32.76 m -83.09 deg
32.78 m -82.63 deg
32.75 m -82.19 deg
32.77 m -81.73 deg
32.82 m -80.84 deg
32.82 m -80.38 deg
654.36 m -79.03 deg
654.36 m -77.68 deg
33.51 m -76.34 deg
33.87 m -74.09 deg
34.39 m -72.28 deg
654.36 m -70.48 deg
654.36 m -68.68 deg
654.36 m -66.88 deg
654.36 m -65.09 deg
654.36 m -63.29 deg
654.36 m -61.49 deg
654.36 m -59.69 deg
654.36 m -57.89 deg
654.36 m -56.09 deg
654.36 m -54.29 deg
654.36 m -52.49 deg
24.53 m -50.69 deg
23.69 m -48.89 deg
24.38 m -47.09 deg
654.36 m -44.84 deg
30.58 m -43.04 deg
29.64 m -41.24 deg
654.36 m -39.44 deg
654.36 m -37.64 deg
654.36 m -35.83 deg
654.36 m -34.04 deg
654.36 m -32.24 deg
20.68 m -30.44 deg
19.07 m -28.64 deg
17.39 m -26.84 deg
654.36 m -25.04 deg
14.97 m -22.79 deg
13.92 m -20.99 deg
13.16 m -19.19 deg
12.56 m -17.39 deg
11.99 m -15.59 deg
11.4 m -13.78 deg
10.93 m -11.98 deg
10.6 m -10.19 deg
10.27 m -8.38 deg
9.93 m -6.13 deg
9.58 m -4.34 deg
9.32 m -2.54 deg
9.1 m -0.74 deg
8.94 m 1.04 deg
8.73 m 2.84 deg
8.41 m 4.64 deg
8.14 m 6.45 deg
7.95 m 8.25 deg
7.84 m 10.05 deg
7.69 m 11.85 deg
7.51 m 13.65 deg
7.36 m 15.9 deg
7.21 m 17.69 deg
7.09 m 19.49 deg
6.99 m 21.3 deg
6.91 m 23.09 deg
6.85 m 24.89 deg
6.77 m 26.7 deg
6.66 m 28.49 deg
6.58 m 30.74 deg
6.52 m 32.55 deg
6.43 m 34.34 deg
6.35 m 36.14 deg
6.28 m 37.94 deg
6.25 m 39.75 deg
6.21 m 41.55 deg
6.19 m 43.35 deg
6.17 m 45.6 deg
654.36 m 46.94 deg
6.12 m 48.74 deg
6.12 m 50.99 deg
6.13 m 52.8 deg
6.15 m 54.6 deg
6.14 m 56.4 deg
6.15 m 58.65 deg
6.21 m 60.44 deg
6.25 m 62.24 deg
6.25 m 64.05 deg
6.26 m 65.85 deg
6.29 m 67.65 deg
6.34 m 69.45 deg
6.4 m 71.25 deg
6.45 m 73.5 deg
6.51 m 75.3 deg
6.59 m 76.65 deg
6.67 m 77.55 deg
6.74 m 78.45 deg
6.84 m 79.35 deg
6.94 m 79.8 deg
6.99 m 80.25 deg
6.99 m 80.7 deg
6.98 m 81.15 deg
6.95 m 81.6 deg
6.89 m 82.05 deg
6.79 m 82.5 deg
6.71 m 82.95 deg
6.64 m 83.4 deg
6.62 m 83.85 deg
6.6 m 84.3 deg
6.61 m 84.75 deg
6.63 m 85.2 deg
6.66 m 85.2 deg
6.69 m 85.65 deg
6.71 m 86.1 deg
6.73 m 86.55 deg
6.74 m 86.55 deg
6.75 m 87.0 deg
6.75 m 87.45 deg
6.76 m 87.45 deg
6.78 m 87.9 deg
6.8 m 88.35 deg
6.82 m 90.74 deg
6.86 m 90.74 deg
6.91 m 90.3 deg
6.95 m 90.3 deg
6.99 m 89.84 deg
7.05 m 89.39 deg
7.09 m 89.39 deg
7.14 m 88.95 deg
7.19 m 88.49 deg
7.23 m 88.05 deg
7.27 m 88.05 deg
7.31 m 87.59 deg
7.33 m 87.14 deg
7.37 m 86.7 deg
7.44 m 86.7 deg
7.49 m 86.24 deg
7.56 m 85.8 deg
7.65 m 85.35 deg
7.73 m 84.89 deg
