Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
0.09 m -80.84 deg
0.11 m -79.93 deg
0.16 m -78.59 deg
0.15 m -76.78 deg
0.16 m -74.98 deg
0.14 m -73.18 deg
0.15 m -70.93 deg
0.14 m -69.13 deg
0.24 m -66.88 deg
0.37 m -65.09 deg
0.3 m -63.29 deg
0.28 m -61.49 deg
0.26 m -59.69 deg
0.27 m -57.89 deg
0.27 m -55.64 deg
0.27 m -53.84 deg
0.29 m -52.04 deg
0.28 m -50.24 deg
0.28 m -48.44 deg
0.27 m -46.64 deg
0.25 m -44.84 deg
0.23 m -43.04 deg
0.19 m -40.79 deg
0.15 m -38.99 deg
0.13 m -37.19 deg
0.14 m -35.39 deg
0.14 m -33.58 deg
0.13 m -31.79 deg
0.13 m -29.99 deg
0.14 m -28.19 deg
0.18 m -25.94 deg
0.15 m -24.14 deg
0.17 m -22.34 deg
654.36 m -20.54 deg
0.18 m -18.74 deg
0.2 m -16.94 deg
0.2 m -15.14 deg
0.15 m -13.34 deg
0.14 m -11.09 deg
0.14 m -9.28 deg
0.14 m -7.49 deg
0.14 m -5.69 deg
0.12 m -3.89 deg
0.12 m -2.08 deg
654.36 m -0.29 deg
654.36 m 1.49 deg
654.36 m 3.3 deg
19.0 m 5.09 deg
18.92 m 6.89 deg
18.85 m 8.7 deg
18.83 m 10.5 deg
18.79 m 12.75 deg
18.82 m 14.55 deg
18.83 m 16.34 deg
18.82 m 18.15 deg
18.93 m 19.94 deg
19.01 m 21.74 deg
19.14 m 23.55 deg
19.27 m 25.34 deg
19.41 m 27.59 deg
19.57 m 29.39 deg
654.36 m 31.19 deg
654.36 m 33.0 deg
654.36 m 34.8 deg
654.36 m 36.59 deg
654.36 m 38.39 deg
654.36 m 40.19 deg
654.36 m 41.99 deg
654.36 m 43.8 deg
654.36 m 45.6 deg
654.36 m 47.4 deg
654.36 m 49.19 deg
654.36 m 50.99 deg
654.36 m 52.8 deg
654.36 m 54.6 deg
654.36 m 56.4 deg
654.36 m 58.19 deg
654.36 m 59.99 deg
654.36 m 61.8 deg
654.36 m 64.05 deg
654.36 m 65.85 deg
654.36 m 67.65 deg
654.36 m 69.45 deg
654.36 m 71.25 deg
654.36 m 73.05 deg
654.36 m 74.85 deg
2.82 m 76.2 deg
2.65 m 77.55 deg
654.36 m 78.45 deg
654.36 m 78.9 deg
654.36 m 79.35 deg
2.51 m 80.25 deg
2.48 m 80.7 deg
2.48 m 81.15 deg
2.45 m 81.6 deg
2.45 m 82.05 deg
2.44 m 82.5 deg
2.43 m 82.95 deg
2.67 m 83.4 deg
2.6 m 83.85 deg
3.28 m 84.3 deg
3.01 m 84.75 deg
654.36 m 84.75 deg
2.31 m 85.2 deg
2.32 m 85.65 deg
2.32 m 86.1 deg
2.34 m 86.1 deg
2.37 m 86.55 deg
2.36 m 87.0 deg
2.34 m 87.0 deg
2.35 m 87.45 deg
2.36 m 87.9 deg
2.36 m 87.9 deg
2.35 m 88.35 deg
2.34 m 90.74 deg
2.34 m 90.3 deg
2.35 m 90.3 deg
2.34 m 89.84 deg
2.32 m 89.84 deg
2.32 m 89.39 deg
2.32 m 88.95 deg
2.32 m 88.95 deg
2.32 m 88.49 deg
2.31 m 88.05 deg
2.31 m 87.59 deg
2.31 m 87.59 deg
2.31 m 87.14 deg
2.31 m 86.7 deg
2.32 m 86.24 deg
2.32 m 85.8 deg
2.32 m 85.35 deg
2.31 m 84.89 deg
2.32 m 84.45 deg
2.32 m 83.99 deg
2.32 m 83.55 deg
2.33 m 83.1 deg
2.34 m 82.64 deg
2.36 m 82.2 deg
2.37 m 81.74 deg
2.37 m 80.85 deg
2.37 m 79.94 deg
2.35 m 79.04 deg
2.35 m 77.69 deg
2.35 m 75.89 deg
2.29 m 74.1 deg
2.26 m 72.29 deg
654.36 m 70.49 deg
654.36 m 68.69 deg
3.42 m 66.89 deg
654.36 m 65.1 deg
2.68 m 62.85 deg
2.69 m 61.05 deg
654.36 m 59.25 deg
2.73 m 57.45 deg
2.77 m 55.65 deg
654.36 m 53.85 deg
654.36 m 52.05 deg
654.36 m 50.25 deg
654.36 m 48.45 deg
654.36 m 46.65 deg
654.36 m 44.85 deg
654.36 m 43.05 deg
654.36 m 41.25 deg
654.36 m 39.45 deg
654.36 m 37.65 deg
654.36 m 35.84 deg
654.36 m 34.05 deg
654.36 m 32.25 deg
20.33 m 30.45 deg
19.95 m 28.65 deg
19.5 m 26.85 deg
19.15 m 25.05 deg
18.83 m 23.25 deg
18.57 m 21.45 deg
18.34 m 19.2 deg
18.11 m 17.4 deg
17.93 m 15.6 deg
17.72 m 13.79 deg
17.54 m 11.99 deg
17.39 m 10.2 deg
17.24 m 8.39 deg
17.1 m 6.59 deg
17.0 m 4.8 deg
16.91 m 3.0 deg
16.86 m 1.2 deg
16.8 m -0.58 deg
16.77 m -2.83 deg
16.74 m -4.63 deg
16.73 m -6.44 deg
16.73 m -8.24 deg
16.74 m -10.04 deg
16.77 m -11.84 deg
16.84 m -13.64 deg
16.84 m -15.44 deg
16.97 m -17.23 deg
17.07 m -19.48 deg
17.16 m -21.29 deg
17.29 m -23.08 deg
654.36 m -24.88 deg
654.36 m -26.69 deg
44.04 m -28.48 deg
654.36 m -30.29 deg
654.36 m -32.08 deg
654.36 m -33.43 deg
43.38 m -35.24 deg
44.06 m -37.49 deg
654.36 m -39.29 deg
45.79 m -41.09 deg
654.36 m -42.89 deg
654.36 m -44.68 deg
654.36 m -46.48 deg
654.36 m -48.29 deg
24.17 m -50.09 deg
654.36 m -51.89 deg
25.92 m -53.68 deg
654.36 m -55.93 deg
654.36 m -57.73 deg
654.36 m -59.54 deg
654.36 m -61.34 deg
654.36 m -63.14 deg
654.36 m -64.94 deg
654.36 m -66.74 deg
654.36 m -68.54 deg
654.36 m -70.34 deg
1.72 m -72.14 deg
1.49 m -73.94 deg
1.48 m -75.74 deg
1.45 m -77.09 deg
654.36 m -77.99 deg
654.36 m -78.44 deg
1.72 m -79.34 deg
1.64 m -79.79 deg
1.61 m -80.24 deg
1.63 m -81.14 deg
1.61 m -81.59 deg
1.59 m -82.04 deg
1.56 m -82.49 deg
1.57 m -82.94 deg
1.69 m -83.39 deg
1.65 m -83.39 deg
1.79 m -83.84 deg
2.52 m -84.29 deg
2.5 m -84.74 deg
2.5 m -85.19 deg
2.52 m -85.64 deg
2.51 m -85.64 deg
2.52 m -86.09 deg
2.52 m -86.54 deg
2.54 m -86.54 deg
2.51 m -86.99 deg
2.52 m -87.44 deg
2.49 m -87.44 deg
2.49 m -87.89 deg
2.48 m -88.34 deg
2.46 m -90.73 deg
2.47 m -91.19 deg
2.43 m -90.73 deg
2.46 m -90.29 deg
2.47 m -90.29 deg
2.47 m -89.83 deg
2.51 m -89.38 deg
2.5 m -89.38 deg
2.53 m -88.94 deg
2.5 m -88.48 deg
2.48 m -88.48 deg
2.5 m -88.04 deg
2.52 m -87.58 deg
2.38 m -87.13 deg
1.86 m -87.13 deg
1.59 m -86.69 deg
1.75 m -86.23 deg
1.87 m -85.79 deg
1.82 m -85.34 deg
1.72 m -84.88 deg
1.76 m -84.44 deg
1.87 m -83.98 deg
1.99 m -83.54 deg
2.1 m -83.09 deg
2.31 m -82.63 deg
2.49 m -82.19 deg
654.36 m -81.28 deg
654.36 m -80.84 deg
1.45 m -79.93 deg
1.43 m -79.03 deg
1.4 m -77.68 deg
1.41 m -75.88 deg
1.3 m -74.09 deg
1.42 m -72.28 deg
654.36 m -70.48 deg
654.36 m -68.68 deg
654.36 m -66.88 deg
654.36 m -65.09 deg
654.36 m -63.29 deg
654.36 m -61.49 deg
654.36 m -59.69 deg
654.36 m -57.89 deg
654.36 m -56.09 deg
654.36 m -54.29 deg
654.36 m -52.49 deg
654.36 m -50.69 deg
654.36 m -48.89 deg
654.36 m -47.09 deg
654.36 m -45.29 deg
654.36 m -43.49 deg
47.9 m -41.24 deg
654.36 m -39.44 deg
654.36 m -37.64 deg
654.36 m -35.83 deg
20.73 m -34.04 deg
20.44 m -32.24 deg
654.36 m -30.44 deg
654.36 m -28.64 deg
