Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
654.36 m 26.24 deg
654.36 m 44.24 deg
654.36 m 62.24 deg
654.36 m 76.2 deg
654.36 m 82.95 deg
654.36 m 86.55 deg
654.36 m 89.39 deg
7.6 m 86.7 deg
6.13 m 81.74 deg
5.59 m 69.6 deg
5.89 m 52.05 deg
7.92 m 34.05 deg
654.36 m 16.04 deg
654.36 m -1.93 deg
19.33 m -19.93 deg
654.36 m -37.93 deg
654.36 m -55.93 deg
654.36 m -72.14 deg
654.36 m -81.59 deg
654.36 m -85.64 deg
654.36 m -89.83 deg
654.36 m -88.48 deg
654.36 m -84.88 deg
654.36 m -76.34 deg
654.36 m -61.04 deg
20.36 m -43.04 deg
19.55 m -25.04 deg
13.52 m -7.04 deg
11.0 m 10.95 deg
9.26 m 28.95 deg
9.06 m 46.94 deg
9.91 m 64.95 deg
12.28 m 78.0 deg
12.92 m 83.85 deg
14.04 m 89.39 deg
15.06 m 89.39 deg
13.48 m 86.24 deg
13.02 m 80.39 deg
12.22 m 67.35 deg
11.28 m 49.35 deg
12.69 m 31.35 deg
15.23 m 13.35 deg
18.96 m -4.63 deg
38.11 m -22.63 deg
19.6 m -40.63 deg
654.36 m -58.18 deg
654.36 m -73.49 deg
49.88 m -82.49 deg
654.36 m -86.09 deg
654.36 m -89.83 deg
654.36 m -88.04 deg
49.74 m -83.98 deg
654.36 m -74.53 deg
654.36 m -58.79 deg
654.36 m -40.79 deg
654.36 m -22.79 deg
19.85 m -4.34 deg
654.36 m 13.2 deg
654.36 m 31.19 deg
654.36 m 49.19 deg
36.41 m 67.2 deg
36.49 m 79.35 deg
34.24 m 84.3 deg
32.81 m 89.39 deg
654.36 m 88.95 deg
26.67 m 85.35 deg
22.66 m 78.6 deg
18.64 m 64.64 deg
19.29 m 46.65 deg
654.36 m 29.1 deg
20.8 m 10.65 deg
654.36 m -6.88 deg
19.29 m -24.88 deg
654.36 m -42.89 deg
654.36 m -60.89 deg
654.36 m -75.29 deg
27.59 m -82.94 deg
29.73 m -86.54 deg
654.36 m -89.83 deg
27.57 m -87.58 deg
654.36 m -83.09 deg
654.36 m -72.73 deg
20.04 m -55.64 deg
654.36 m -37.64 deg
654.36 m -20.09 deg
20.81 m -1.64 deg
24.33 m 15.9 deg
25.46 m 33.89 deg
654.36 m 51.9 deg
654.36 m 69.0 deg
42.76 m 80.25 deg
654.36 m 84.75 deg
78.83 m 89.39 deg
83.41 m 88.49 deg
654.36 m 84.89 deg
654.36 m 77.24 deg
654.36 m 62.4 deg
654.36 m 44.4 deg
654.36 m 26.4 deg
654.36 m 8.39 deg
654.36 m -9.58 deg
19.14 m -27.58 deg
18.93 m -45.59 deg
654.36 m -63.58 deg
654.36 m -77.09 deg
654.36 m -83.39 deg
654.36 m -86.99 deg
654.36 m -89.83 deg
654.36 m -87.13 deg
654.36 m -82.19 deg
654.36 m -70.93 deg
654.36 m -53.39 deg
654.36 m -35.39 deg
654.36 m -17.39 deg
654.36 m 0.59 deg
654.36 m 18.59 deg
654.36 m 36.59 deg
13.11 m 54.6 deg
10.9 m 71.25 deg
10.82 m 81.15 deg
11.16 m 85.2 deg
10.99 m 89.39 deg
10.61 m 88.05 deg
10.49 m 84.45 deg
11.01 m 75.44 deg
11.98 m 59.7 deg
14.6 m 41.7 deg
654.36 m 23.7 deg
654.36 m 5.7 deg
654.36 m -12.29 deg
654.36 m -30.29 deg
654.36 m -48.29 deg
654.36 m -66.29 deg
654.36 m -78.44 deg
654.36 m -83.84 deg
22.84 m -89.83 deg
22.79 m -89.83 deg
654.36 m -86.69 deg
654.36 m -81.28 deg
654.36 m -69.13 deg
654.36 m -50.69 deg
654.36 m -32.69 deg
654.36 m -15.14 deg
654.36 m 2.84 deg
654.36 m 20.84 deg
12.97 m 38.84 deg
12.65 m 57.3 deg
15.29 m 73.05 deg
20.34 m 82.05 deg
25.11 m 85.65 deg
25.73 m 89.39 deg
25.35 m 87.59 deg
24.79 m 83.55 deg
654.36 m 73.64 deg
654.36 m 57.45 deg
34.76 m 39.0 deg
654.36 m 21.0 deg
31.63 m 3.0 deg
19.56 m -14.54 deg
654.36 m -32.54 deg
654.36 m -50.54 deg
654.36 m -68.09 deg
654.36 m -79.79 deg
654.36 m -84.74 deg
654.36 m -89.83 deg
654.36 m -89.38 deg
654.36 m -85.79 deg
654.36 m -79.48 deg
654.36 m -66.43 deg
18.61 m -47.99 deg
654.36 m -29.99 deg
654.36 m -12.44 deg
654.36 m 5.55 deg
16.58 m 23.55 deg
14.13 m 41.55 deg
13.87 m 59.55 deg
15.79 m 74.4 deg
16.35 m 82.5 deg
16.94 m 86.1 deg
16.93 m 89.39 deg
15.74 m 87.14 deg
15.24 m 83.1 deg
16.16 m 71.85 deg
16.57 m 54.75 deg
20.54 m 36.75 deg
24.62 m 18.75 deg
26.47 m 0.75 deg
19.25 m -17.23 deg
654.36 m -35.24 deg
18.38 m -53.23 deg
654.36 m -70.34 deg
654.36 m -80.69 deg
654.36 m -85.19 deg
654.36 m -89.83 deg
654.36 m -88.94 deg
654.36 m -85.34 deg
654.36 m -78.13 deg
654.36 m -63.74 deg
18.15 m -45.74 deg
654.36 m -27.74 deg
18.81 m -9.74 deg
654.36 m 8.25 deg
15.59 m 26.24 deg
14.06 m 44.24 deg
14.59 m 62.24 deg
15.12 m 76.2 deg
13.84 m 82.95 deg
13.44 m 86.55 deg
13.23 m 89.39 deg
13.29 m 86.7 deg
15.22 m 81.74 deg
19.88 m 69.6 deg
21.49 m 52.05 deg
25.87 m 34.05 deg
28.9 m 16.04 deg
31.59 m -1.93 deg
18.61 m -19.93 deg
654.36 m -37.93 deg
654.36 m -55.93 deg
654.36 m -72.14 deg
18.5 m -81.59 deg
654.36 m -85.64 deg
654.36 m -89.83 deg
654.36 m -88.48 deg
654.36 m -84.88 deg
654.36 m -76.34 deg
654.36 m -61.04 deg
654.36 m -43.04 deg
654.36 m -25.04 deg
654.36 m -7.04 deg
654.36 m 10.95 deg
654.36 m 28.95 deg
654.36 m 46.94 deg
13.35 m 64.95 deg
11.04 m 78.0 deg
10.25 m 83.85 deg
10.17 m 89.39 deg
9.79 m 89.39 deg
9.65 m 86.24 deg
10.3 m 80.39 deg
12.7 m 67.35 deg
654.36 m 49.35 deg
654.36 m 31.35 deg
654.36 m 13.35 deg
654.36 m -4.18 deg
654.36 m -22.19 deg
654.36 m -40.18 deg
654.36 m -58.18 deg
654.36 m -73.49 deg
654.36 m -82.49 deg
654.36 m -86.09 deg
654.36 m -89.83 deg
654.36 m -88.04 deg
654.36 m -83.98 deg
654.36 m -74.53 deg
654.36 m -58.79 deg
654.36 m -40.79 deg
654.36 m -22.79 deg
654.36 m -4.79 deg
654.36 m 13.2 deg
654.36 m 31.19 deg
654.36 m 49.19 deg
15.36 m 67.2 deg
13.48 m 79.35 deg
12.31 m 84.3 deg
11.78 m 89.39 deg
12.09 m 88.95 deg
13.06 m 85.35 deg
14.73 m 78.6 deg
654.36 m 65.1 deg
654.36 m 47.1 deg
654.36 m 29.1 deg
654.36 m 11.1 deg
654.36 m -6.88 deg
654.36 m -24.88 deg
654.36 m -42.89 deg
654.36 m -60.89 deg
654.36 m -75.29 deg
654.36 m -82.94 deg
654.36 m -86.54 deg
654.36 m -89.83 deg
654.36 m -87.58 deg
654.36 m -83.09 deg
654.36 m -72.73 deg
654.36 m -56.09 deg
654.36 m -38.08 deg
654.36 m -20.09 deg
654.36 m -2.08 deg
654.36 m 15.9 deg
654.36 m 33.89 deg
16.63 m 51.9 deg
12.72 m 69.0 deg
10.9 m 80.25 deg
9.99 m 84.75 deg
9.62 m 89.39 deg
10.05 m 88.49 deg
10.81 m 84.89 deg
11.85 m 77.24 deg
14.81 m 62.4 deg
654.36 m 44.4 deg
654.36 m 26.4 deg
654.36 m 8.39 deg
654.36 m -9.58 deg
654.36 m -27.58 deg
654.36 m -45.59 deg
654.36 m -63.58 deg
654.36 m -77.09 deg
654.36 m -83.39 deg
654.36 m -86.99 deg
654.36 m -89.83 deg
654.36 m -87.13 deg
654.36 m -82.19 deg
