Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
3.96 m 90.74 deg
3.87 m 90.74 deg
3.86 m 90.3 deg
3.85 m 90.3 deg
3.86 m 89.84 deg
3.87 m 89.39 deg
3.88 m 89.39 deg
3.89 m 88.95 deg
3.9 m 88.49 deg
3.93 m 88.49 deg
3.97 m 88.05 deg
3.98 m 87.59 deg
3.99 m 87.14 deg
4.0 m 87.14 deg
4.01 m 86.7 deg
4.02 m 86.24 deg
3.99 m 85.8 deg
3.99 m 85.35 deg
12.44 m 84.89 deg
12.74 m 84.45 deg
13.06 m 83.99 deg
13.13 m 83.55 deg
13.07 m 83.1 deg
6.1 m 82.64 deg
6.08 m 81.74 deg
6.08 m 81.29 deg
6.11 m 80.85 deg
6.14 m 79.94 deg
12.63 m 78.6 deg
12.33 m 76.79 deg
12.17 m 74.99 deg
11.81 m 73.19 deg
11.48 m 71.39 deg
10.29 m 69.6 deg
9.82 m 67.79 deg
9.34 m 65.99 deg
9.33 m 63.75 deg
9.27 m 61.95 deg
9.03 m 60.15 deg
8.82 m 58.35 deg
8.61 m 56.55 deg
6.28 m 54.75 deg
6.08 m 52.95 deg
6.36 m 51.15 deg
6.66 m 49.35 deg
7.21 m 47.1 deg
7.57 m 45.3 deg
8.06 m 43.5 deg
654.36 m 41.7 deg
13.49 m 39.9 deg
13.27 m 38.09 deg
654.36 m 36.3 deg
11.97 m 34.5 deg
12.96 m 32.25 deg
13.52 m 30.45 deg
13.34 m 28.65 deg
654.36 m 26.85 deg
654.36 m 25.05 deg
654.36 m 23.25 deg
654.36 m 21.45 deg
654.36 m 20.1 deg
654.36 m 18.3 deg
59.94 m 16.04 deg
654.36 m 14.24 deg
654.36 m 12.9 deg
654.36 m 11.1 deg
654.36 m 9.29 deg
654.36 m 7.5 deg
17.74 m 5.7 deg
14.14 m 3.9 deg
12.57 m 1.65 deg
654.36 m 0.3 deg
654.36 m -1.48 deg
8.91 m -3.29 deg
8.49 m -5.54 deg
7.51 m -7.34 deg
654.36 m -9.13 deg
7.23 m -10.94 deg
7.4 m -12.74 deg
6.91 m -14.98 deg
6.86 m -16.78 deg
7.15 m -18.58 deg
7.57 m -20.38 deg
654.36 m -22.19 deg
654.36 m -23.98 deg
7.9 m -25.79 deg
8.0 m -27.58 deg
8.26 m -29.38 deg
9.07 m -31.18 deg
9.25 m -33.43 deg
3.91 m -35.24 deg
3.79 m -37.04 deg
3.8 m -38.83 deg
3.68 m -40.63 deg
3.66 m -42.43 deg
3.57 m -44.23 deg
3.48 m -46.04 deg
3.41 m -48.29 deg
3.31 m -50.09 deg
3.17 m -51.89 deg
3.14 m -53.68 deg
3.12 m -55.48 deg
3.0 m -57.29 deg
3.04 m -59.09 deg
3.06 m -60.89 deg
3.37 m -63.14 deg
3.2 m -64.94 deg
3.13 m -66.74 deg
3.13 m -68.54 deg
654.36 m -70.34 deg
654.36 m -72.14 deg
0.02 m -73.94 deg
0.04 m -75.74 deg
0.09 m -77.09 deg
654.36 m -77.99 deg
654.36 m -78.44 deg
0.03 m -79.34 deg
0.03 m -79.79 deg
0.03 m -80.69 deg
0.03 m -81.14 deg
0.03 m -81.59 deg
0.03 m -82.04 deg
0.02 m -82.49 deg
0.02 m -82.94 deg
0.04 m -83.39 deg
0.02 m -83.39 deg
0.04 m -83.84 deg
0.04 m -84.29 deg
0.04 m -84.74 deg
0.03 m -85.19 deg
0.05 m -85.64 deg
0.03 m -85.64 deg
0.03 m -86.09 deg
0.05 m -86.54 deg
0.05 m -86.54 deg
0.04 m -86.99 deg
0.03 m -87.44 deg
654.36 m -87.44 deg
0.02 m -87.89 deg
0.03 m -88.34 deg
0.02 m -90.73 deg
0.03 m -91.19 deg
654.36 m -90.73 deg
654.36 m -90.29 deg
0.05 m -90.29 deg
0.05 m -89.83 deg
0.06 m -89.83 deg
0.05 m -89.38 deg
0.04 m -88.94 deg
0.04 m -88.48 deg
0.06 m -88.48 deg
0.07 m -88.04 deg
0.05 m -87.58 deg
0.01 m -87.58 deg
0.0 m -87.13 deg
654.36 m -86.69 deg
654.36 m -86.23 deg
0.09 m -85.79 deg
0.09 m -85.34 deg
0.06 m -84.88 deg
0.05 m -84.44 deg
0.04 m -83.98 deg
0.03 m -83.54 deg
0.03 m -83.09 deg
0.03 m -82.63 deg
0.03 m -82.19 deg
0.03 m -81.73 deg
0.06 m -80.84 deg
0.05 m -79.93 deg
10.62 m -79.03 deg
654.36 m -77.68 deg
10.6 m -75.43 deg
10.71 m -73.63 deg
11.03 m -71.84 deg
3.17 m -70.03 deg
3.1 m -68.23 deg
3.25 m -66.43 deg
3.12 m -64.63 deg
3.02 m -62.84 deg
3.05 m -60.59 deg
3.08 m -58.79 deg
3.11 m -56.99 deg
3.14 m -55.19 deg
3.17 m -53.39 deg
3.29 m -51.59 deg
3.36 m -49.79 deg
3.46 m -47.99 deg
3.55 m -45.74 deg
3.59 m -43.94 deg
3.68 m -42.14 deg
3.67 m -40.33 deg
3.8 m -38.54 deg
9.65 m -36.74 deg
9.55 m -34.94 deg
654.36 m -33.13 deg
9.02 m -30.89 deg
8.76 m -29.09 deg
8.43 m -27.29 deg
8.17 m -25.49 deg
8.04 m -23.69 deg
7.83 m -21.89 deg
7.65 m -20.09 deg
7.51 m -17.84 deg
7.39 m -16.03 deg
7.27 m -14.23 deg
7.02 m -12.44 deg
7.06 m -10.64 deg
7.66 m -8.83 deg
8.49 m -7.04 deg
10.65 m -5.24 deg
11.78 m -3.44 deg
12.34 m -1.64 deg
654.36 m 0.14 deg
654.36 m 1.94 deg
654.36 m 3.74 deg
654.36 m 5.55 deg
26.76 m 7.35 deg
26.6 m 9.14 deg
26.67 m 10.95 deg
25.63 m 13.2 deg
25.42 m 14.99 deg
25.38 m 16.79 deg
654.36 m 18.59 deg
25.6 m 20.39 deg
654.36 m 22.2 deg
654.36 m 23.99 deg
16.16 m 25.8 deg
14.26 m 27.59 deg
12.79 m 29.39 deg
11.86 m 31.19 deg
11.12 m 33.44 deg
654.36 m 35.25 deg
654.36 m 36.59 deg
654.36 m 38.39 deg
7.8 m 40.19 deg
7.41 m 42.44 deg
7.19 m 44.24 deg
6.81 m 46.05 deg
6.46 m 47.85 deg
7.58 m 49.65 deg
6.04 m 51.44 deg
654.36 m 53.24 deg
8.84 m 55.05 deg
9.09 m 57.3 deg
9.39 m 59.1 deg
9.23 m 60.9 deg
654.36 m 62.69 deg
5.88 m 64.5 deg
5.54 m 66.3 deg
5.39 m 68.1 deg
5.59 m 70.35 deg
5.87 m 72.15 deg
5.82 m 73.95 deg
7.16 m 75.3 deg
6.09 m 76.65 deg
5.55 m 78.0 deg
4.37 m 78.45 deg
654.36 m 79.35 deg
4.03 m 79.8 deg
4.03 m 80.25 deg
4.02 m 81.15 deg
4.02 m 81.6 deg
4.03 m 82.05 deg
4.02 m 82.5 deg
4.02 m 82.95 deg
4.01 m 83.4 deg
4.0 m 83.4 deg
654.36 m 83.85 deg
3.94 m 84.3 deg
3.93 m 84.75 deg
3.93 m 85.2 deg
3.93 m 85.2 deg
3.93 m 85.65 deg
3.92 m 86.1 deg
3.92 m 86.55 deg
3.91 m 86.55 deg
3.91 m 87.0 deg
3.91 m 87.45 deg
3.9 m 87.45 deg
3.9 m 87.9 deg
3.89 m 88.35 deg
3.89 m 90.74 deg
3.89 m 90.74 deg
3.88 m 90.3 deg
3.87 m 90.3 deg
3.88 m 89.84 deg
3.87 m 89.39 deg
3.89 m 89.39 deg
3.9 m 88.95 deg
3.91 m 88.49 deg
3.92 m 88.05 deg
3.92 m 88.05 deg
3.93 m 87.59 deg
3.93 m 87.14 deg
3.93 m 86.7 deg
3.78 m 86.7 deg
3.33 m 86.24 deg
3.11 m 85.8 deg
3.03 m 85.35 deg
3.02 m 84.89 deg
3.63 m 84.45 deg
4.04 m 83.99 deg
4.05 m 83.55 deg
4.06 m 83.1 deg
4.06 m 82.64 deg
4.07 m 81.74 deg
4.08 m 81.29 deg
4.04 m 80.39 deg
654.36 m 79.49 deg
4.45 m 78.14 deg
4.39 m 76.79 deg
654.36 m 74.99 deg
