Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
3.86 m 17.24 deg
3.91 m 19.04 deg
8.5 m 21.3 deg
8.54 m 23.09 deg
11.45 m 24.89 deg
654.36 m 26.7 deg
10.81 m 28.49 deg
654.36 m 30.74 deg
654.36 m 32.55 deg
7.73 m 34.34 deg
7.11 m 36.59 deg
7.72 m 38.39 deg
6.81 m 40.19 deg
6.83 m 41.99 deg
7.01 m 43.8 deg
6.36 m 45.6 deg
6.76 m 47.4 deg
654.36 m 49.19 deg
5.21 m 50.99 deg
5.32 m 53.24 deg
5.51 m 55.05 deg
5.72 m 56.85 deg
5.94 m 58.65 deg
654.36 m 60.44 deg
6.44 m 62.24 deg
6.74 m 64.5 deg
7.37 m 66.3 deg
7.56 m 68.1 deg
8.03 m 69.9 deg
654.36 m 71.7 deg
15.24 m 73.5 deg
654.36 m 75.3 deg
12.1 m 76.65 deg
12.18 m 78.0 deg
15.5 m 78.45 deg
15.58 m 79.35 deg
15.95 m 79.8 deg
16.84 m 80.25 deg
16.75 m 80.7 deg
16.33 m 81.6 deg
654.36 m 82.05 deg
16.09 m 82.5 deg
16.48 m 82.95 deg
17.68 m 83.4 deg
17.35 m 83.4 deg
17.51 m 83.85 deg
17.43 m 84.3 deg
17.42 m 84.75 deg
654.36 m 85.2 deg
17.79 m 85.2 deg
654.36 m 85.65 deg
654.36 m 86.1 deg
654.36 m 86.55 deg
654.36 m 86.55 deg
654.36 m 87.0 deg
654.36 m 87.45 deg
654.36 m 87.45 deg
24.52 m 87.9 deg
24.49 m 88.35 deg
24.44 m 90.74 deg
24.4 m 90.74 deg
24.37 m 90.3 deg
24.33 m 90.3 deg
24.32 m 89.84 deg
24.3 m 89.39 deg
24.29 m 89.39 deg
24.24 m 88.95 deg
24.26 m 88.49 deg
24.25 m 88.49 deg
654.36 m 88.05 deg
654.36 m 87.59 deg
654.36 m 87.14 deg
654.36 m 87.14 deg
654.36 m 86.7 deg
654.36 m 86.24 deg
654.36 m 85.8 deg
654.36 m 85.35 deg
654.36 m 84.89 deg
654.36 m 84.45 deg
16.7 m 83.99 deg
16.7 m 83.55 deg
16.67 m 83.1 deg
16.64 m 82.64 deg
654.36 m 82.2 deg
654.36 m 81.29 deg
654.36 m 80.85 deg
654.36 m 79.94 deg
654.36 m 79.04 deg
654.36 m 77.69 deg
654.36 m 75.89 deg
654.36 m 74.1 deg
14.21 m 72.29 deg
12.66 m 70.49 deg
654.36 m 68.69 deg
10.04 m 66.89 deg
9.22 m 65.1 deg
8.65 m 62.85 deg
8.05 m 61.05 deg
7.55 m 59.25 deg
7.27 m 57.45 deg
6.8 m 55.65 deg
6.55 m 53.85 deg
6.24 m 52.05 deg
5.98 m 50.25 deg
5.87 m 48.45 deg
6.46 m 46.65 deg
6.85 m 44.85 deg
7.23 m 43.05 deg
7.61 m 41.25 deg
7.87 m 39.45 deg
8.14 m 37.2 deg
8.43 m 35.4 deg
8.78 m 33.59 deg
9.18 m 31.8 deg
9.65 m 30.0 deg
10.25 m 28.2 deg
10.95 m 26.4 deg
11.71 m 24.15 deg
11.78 m 22.35 deg
11.46 m 20.55 deg
654.36 m 18.75 deg
12.31 m 16.95 deg
12.17 m 15.15 deg
11.78 m 13.35 deg
11.58 m 11.54 deg
11.58 m 9.29 deg
3.8 m 7.5 deg
3.78 m 5.7 deg
3.75 m 3.9 deg
3.81 m 2.09 deg
3.81 m 0.3 deg
3.8 m -1.48 deg
3.8 m -3.29 deg
3.81 m -5.08 deg
3.81 m -6.88 deg
3.81 m -8.69 deg
3.76 m -10.94 deg
3.74 m -12.74 deg
3.75 m -14.54 deg
3.79 m -16.33 deg
3.82 m -18.14 deg
3.86 m -19.93 deg
3.95 m -21.73 deg
654.36 m -23.54 deg
9.06 m -25.33 deg
12.64 m -27.58 deg
654.36 m -29.38 deg
12.23 m -31.18 deg
654.36 m -32.99 deg
11.78 m -34.79 deg
11.13 m -36.58 deg
10.12 m -38.38 deg
9.74 m -40.18 deg
6.67 m -41.98 deg
6.7 m -44.23 deg
9.33 m -46.04 deg
9.12 m -47.84 deg
8.83 m -49.64 deg
8.58 m -51.43 deg
654.36 m -53.23 deg
8.12 m -55.04 deg
6.6 m -56.84 deg
6.64 m -58.64 deg
7.08 m -60.43 deg
7.37 m -62.68 deg
7.69 m -64.49 deg
0.04 m -66.29 deg
0.04 m -68.54 deg
0.05 m -70.34 deg
0.08 m -72.14 deg
0.1 m -73.94 deg
654.36 m -75.29 deg
0.05 m -76.64 deg
0.07 m -77.99 deg
0.07 m -78.44 deg
0.07 m -79.34 deg
0.06 m -79.79 deg
0.06 m -80.24 deg
0.05 m -81.14 deg
0.06 m -81.59 deg
0.05 m -82.04 deg
0.06 m -82.49 deg
0.06 m -82.94 deg
0.06 m -83.39 deg
0.05 m -83.84 deg
0.05 m -83.84 deg
0.06 m -84.29 deg
0.04 m -84.74 deg
0.05 m -85.19 deg
0.06 m -85.64 deg
0.03 m -85.64 deg
0.06 m -86.09 deg
0.03 m -86.54 deg
0.05 m -86.54 deg
0.05 m -86.99 deg
7.35 m -87.44 deg
7.35 m -87.89 deg
7.35 m -87.89 deg
7.34 m -90.73 deg
7.31 m -91.19 deg
7.21 m -90.73 deg
0.03 m -90.29 deg
0.06 m -90.29 deg
0.06 m -89.83 deg
0.05 m -89.83 deg
0.07 m -89.38 deg
0.06 m -88.94 deg
0.06 m -88.94 deg
0.05 m -88.48 deg
0.04 m -88.04 deg
0.03 m -87.58 deg
0.04 m -87.58 deg
0.02 m -87.13 deg
0.11 m -86.69 deg
0.11 m -86.23 deg
0.07 m -85.79 deg
0.06 m -85.34 deg
0.05 m -84.88 deg
0.05 m -84.44 deg
0.04 m -83.98 deg
25.05 m -83.54 deg
25.05 m -83.09 deg
24.8 m -82.63 deg
24.58 m -81.73 deg
0.05 m -81.28 deg
24.66 m -80.38 deg
24.07 m -79.48 deg
22.26 m -78.13 deg
654.36 m -76.34 deg
18.12 m -74.53 deg
654.36 m -72.73 deg
13.13 m -70.93 deg
12.43 m -68.68 deg
654.36 m -66.88 deg
13.13 m -65.09 deg
13.39 m -63.29 deg
654.36 m -61.49 deg
7.56 m -59.69 deg
7.34 m -57.89 deg
7.16 m -56.09 deg
6.87 m -54.29 deg
6.46 m -52.49 deg
6.84 m -50.24 deg
8.06 m -48.44 deg
8.35 m -46.64 deg
8.71 m -44.84 deg
8.98 m -43.04 deg
654.36 m -41.24 deg
6.81 m -39.44 deg
654.36 m -37.64 deg
5.99 m -35.39 deg
654.36 m -33.58 deg
6.9 m -31.79 deg
7.73 m -29.99 deg
6.55 m -28.19 deg
8.27 m -25.94 deg
8.36 m -24.14 deg
8.51 m -22.34 deg
7.38 m -20.54 deg
4.05 m -18.74 deg
3.88 m -16.94 deg
3.78 m -15.14 deg
3.75 m -13.34 deg
3.71 m -11.09 deg
3.69 m -9.28 deg
3.67 m -7.49 deg
3.71 m -5.69 deg
3.74 m -3.89 deg
3.74 m -2.08 deg
3.72 m -0.29 deg
3.72 m 1.49 deg
3.73 m 3.3 deg
3.71 m 5.09 deg
3.69 m 6.89 deg
3.65 m 8.7 deg
3.7 m 10.5 deg
10.92 m 12.75 deg
11.93 m 14.55 deg
654.36 m 16.34 deg
6.42 m 18.15 deg
654.36 m 19.94 deg
5.67 m 21.74 deg
5.74 m 23.99 deg
5.82 m 25.8 deg
6.18 m 27.59 deg
10.98 m 29.39 deg
10.31 m 31.19 deg
654.36 m 33.0 deg
6.62 m 34.8 deg
6.45 m 37.05 deg
6.74 m 38.84 deg
8.07 m 40.64 deg
6.49 m 42.44 deg
6.3 m 44.24 deg
6.44 m 46.05 deg
6.66 m 48.3 deg
6.41 m 50.1 deg
6.01 m 51.9 deg
5.73 m 53.69 deg
5.66 m 55.49 deg
5.4 m 57.3 deg
5.41 m 59.1 deg
6.65 m 60.9 deg
654.36 m 62.69 deg
8.78 m 64.5 deg
8.81 m 66.75 deg
9.94 m 68.55 deg
10.8 m 70.35 deg
10.81 m 72.15 deg
11.1 m 73.95 deg
12.27 m 75.75 deg
12.08 m 77.1 deg
